ColumnID,Text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
A,"Koreans only do bad things when they come to Korea. They come to Korea to earn money and do bad things, which makes the social atmosphere cloudy and insecure. Koreans only see damage, but they can't leave it alone. If you watch TV or read the newspaper, there are many Korean-Chinese who have committed violent crimes, and many people have no choice but to be dissatisfied.",1,66,5.32,23.94,61.28,1,16.5,13.64,89.39,74.24,56.06,13.64,7.58,0,0,1.52,0,4.55,6.06,7.58,3.03,0,6.06,10.61,7.58,12.12,3.03,21.21,15.15,3.03,3.03,0,3.03,0,13.64,1.52,12.12,1.52,1.52,1.52,3.03,0,9.09,0,7.58,0,7.58,7.58,0,7.58,1.52,1.52,0,0,10.61,0,0,0,0,0,0,7.58,0,0,0,0,6.06,0,4.55,1.52,3.03,1.52,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,1.52,0,0,12.12,9.09,1.52,4.55,4.55,3.03,0,0,1.52,0,4.55,0,0,0,0,0,0,15.15,6.06,6.06,0,0,1.52,1.52
A," If you look these days, you can see a lot of places like Chinatown where foreigners live together. When I walk around it, I feel scared and uncomfortable for nothing. There are many cases where companies hire foreigners for simple labor positions, but Korean-Chinese seem to be a lot in terms of language. However, there are many accidents and many troubles. I'm also worried that I might get hurt after saying something bad...",1,73,15.16,25.32,97.3,1,14.6,20.55,94.52,76.71,58.9,13.7,8.22,5.48,0,2.74,0,0,5.48,12.33,2.74,0,12.33,8.22,10.96,10.96,1.37,19.18,9.59,10.96,1.37,1.37,0,0,15.07,1.37,13.7,2.74,0,1.37,5.48,0,4.11,0,8.22,0,8.22,8.22,0,8.22,4.11,0,0,0,8.22,2.74,0,0,0,0,1.37,5.48,0,0,0,0,4.11,0,4.11,0,4.11,0,0,4.11,0,0,2.74,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,1.37,0,9.59,19.18,1.37,1.37,12.33,2.74,0,2.74,4.11,0,6.85,1.37,0,0,0,0,0,17.81,9.59,5.48,0,0,1.37,1.37
A,"Although the Korean-Chinese are superficially referred to as compatriots, they are actually a group of owners with a more vicious personality than the Chinese. I understand that it is an environment for living and surviving in China, but I think that it is a group that is too harsh and difficult to understand for us. Therefore, it is thought that things like brotherhood are good prey for them.",1,68,42.31,66.03,57.19,1,22.67,25,94.12,82.35,67.65,19.12,7.35,2.94,1.47,0,0,2.94,11.76,16.18,8.82,0,16.18,10.29,5.88,8.82,0,19.12,7.35,1.47,5.88,2.94,0,2.94,16.18,0,16.18,7.35,0,0,0,1.47,4.41,0,8.82,1.47,7.35,2.94,1.47,1.47,0,0,0,0,13.24,2.94,0,0,1.47,0,0,10.29,0,1.47,0,1.47,2.94,0,2.94,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,4.41,0,0,4.41,0,0,0,0,1.47,10.29,0,0,0,0,0,0,10.29,4.41,4.41,0,0,0,1.47
A," Yes, there are a lot of Korean-Chinese people living in my sister's neighborhood, too, but every day there are crimes and the police are helpless. I'm preparing to move now. The town is already being occupied by Korean-Chinese people. It's not just a fight, it's said that they use dangerous weapons all night long. Rather, the Korean people are being kicked out.",1,62,24.16,31.06,95.4,1,12.4,16.13,96.77,75.81,58.06,9.68,4.84,3.23,0,0,0,1.61,4.84,16.13,8.06,0,8.06,16.13,11.29,3.23,1.61,24.19,6.45,11.29,4.84,1.61,0,3.23,11.29,4.84,6.45,0,1.61,0,1.61,0,3.23,0,6.45,0,6.45,1.61,0,1.61,0,0,0,0,9.68,3.23,0,0,1.61,0,1.61,6.45,1.61,0,1.61,0,4.84,0,4.84,0,1.61,0,1.61,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,14.52,14.52,0,3.23,11.29,0,0,0,6.45,4.84,14.52,1.61,1.61,0,1.61,0,0,25.81,8.06,8.06,0,0,6.45,3.23
A,"Koreans should withdraw from Korea. All powerful crimes are caused by the Korean-Chinese, so should the good Korean people suffer?! Korean-Chinese, the culprit of violent crimes, back down! Get away! They are the beings that need to be completely wiped out in our country. We are the victims, the Korean-Chinese are the perpetrators.",1,53,91.9,92.68,1.24,5.02,8.83,22.64,84.91,66.04,54.72,7.55,5.66,0,3.77,0,0,1.89,1.89,18.87,13.21,0,15.09,13.21,3.77,1.89,0,20.75,3.77,1.89,7.55,3.77,0,3.77,11.32,1.89,9.43,0,1.89,5.66,0,1.89,0,0,5.66,1.89,3.77,5.66,1.89,3.77,0,1.89,0,0,9.43,0,0,0,0,0,0,7.55,0,0,0,0,9.43,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,1.89,0,0,0,0,0,0,13.21,11.32,0,0,11.32,0,0,0,0,1.89,7.55,0,0,0,0,0,0,26.42,5.66,7.55,1.89,5.66,0,5.66
A," I think Korean-Chinese are more likely to be related to violent crimes. Maybe it's because of the environment they're in, but they're of the same ethnicity, but they're a little reluctant and scary. It is a social issue that needs to be taken seriously. As our nation, we need to provide social protection or help us come out of the shade into the light.",1,64,57.51,75.49,43.27,6.65,16,15.63,95.31,79.69,60.94,15.63,10.94,1.56,4.69,0,0,4.69,4.69,14.06,9.38,0,17.19,12.5,3.13,9.38,0,20.31,12.5,3.13,6.25,6.25,0,0,18.75,0,18.75,3.13,1.56,3.13,4.69,1.56,6.25,0,4.69,1.56,3.13,3.13,0,3.13,1.56,1.56,0,0,15.63,3.13,1.56,0,0,0,0,9.38,0,0,0,0,4.69,1.56,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,1.56,0,0,0,0,3.13,0,6.25,9.38,0,1.56,7.81,1.56,0,0,0,1.56,12.5,0,0,0,0,0,0,18.75,6.25,4.69,0,0,6.25,1.56
A,"Korean-Chinese think of themselves as Chinese, claiming to be compatriots when necessary, and receive all the benefits of Korea. In addition to receiving medical benefits, it is also a great threat to public safety. You can feel the atmosphere just by visiting the vicinity of Sillim-dong, and you can tell by looking at the movie Crime City based on a true story.",1,62,93.3,83.23,1.77,89.28,20.67,27.42,91.94,70.97,51.61,6.45,4.84,0,0,3.23,0,1.61,1.61,11.29,9.68,0,19.35,6.45,4.84,8.06,0,16.13,8.06,3.23,1.61,0,0,1.61,11.29,1.61,9.68,3.23,1.61,3.23,0,0,0,0,8.06,6.45,1.61,0,0,0,0,0,0,0,14.52,8.06,0,0,1.61,0,3.23,4.84,0,0,0,0,3.23,0,3.23,0,1.61,1.61,0,0,0,0,1.61,1.61,0,0,0,0,0,0,0,1.61,0,3.23,0,0,0,3.23,3.23,0,3.23,8.06,0,0,4.84,1.61,0,1.61,1.61,0,6.45,0,0,0,0,0,0,14.52,4.84,6.45,0,0,0,3.23
A," The image of Korean-Chinese is very bad, as Korean-Chinese people carry a sword in their chest and take it out and wield it when they are angry. In fact, there are news of crimes related to injuries caused by knives wielded by Korean-Chinese. Not all Korean-Chinese people are like this, but since they have this awareness and there are many real cases, I think it can be the culprit for violent crimes.",1,72,41.36,32.26,49.53,1,24,13.89,87.5,70.83,59.72,12.5,5.56,1.39,0,0,0,4.17,6.94,11.11,4.17,0,16.67,11.11,5.56,9.72,1.39,16.67,6.94,1.39,0,0,0,0,13.89,0,13.89,4.17,2.78,1.39,2.78,1.39,2.78,0,5.56,0,5.56,4.17,0,4.17,0,2.78,0,0,5.56,1.39,0,0,0,0,1.39,4.17,0,0,0,0,5.56,0,5.56,0,0,0,0,0,0,0,2.78,1.39,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,9.72,11.11,1.39,1.39,6.94,1.39,0,0,2.78,1.39,8.33,0,0,0,0,0,0,15.28,4.17,5.56,0,0,0,5.56
A,"These are people who speak the same Korean language and look similar, but have radically different ideas. They are people who commit crimes in Korea and leave their country because they have a completely different identity and ideology and the Koreans have a sense of victimization. In addition, it is not easy to apply legal sanctions as they are classified as foreigners.",1,62,28.14,40.06,58.85,6.37,20.67,25.81,88.71,69.35,53.23,12.9,9.68,0,0,0,0,6.45,3.23,9.68,6.45,0,9.68,11.29,1.61,12.9,1.61,17.74,6.45,1.61,4.84,0,0,4.84,16.13,0,16.13,3.23,1.61,0,0,3.23,9.68,0,1.61,0,1.61,0,0,0,0,0,0,0,17.74,4.84,0,0,1.61,0,1.61,11.29,0,0,0,0,6.45,1.61,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,12.9,9.68,1.61,1.61,4.84,1.61,0,1.61,0,0,6.45,0,0,0,0,0,0,8.06,4.84,3.23,0,0,0,0
A," Korean-Chinese are blood-related compatriots who migrated to China from the painful history of Japanese colonial rule in Korean history. However, even after liberation, their lives have been centered on China for a long time, and after Northern diplomacy in the 1990s, they migrated to Korea. They have the perception that they are compatriots by blood, but they have a strong perception that their nationality is China, and in fact, their nationality is Chinese. There is a high probability of committing a violent crime in the process of not adjusting to life in Korea.",1,93,82.37,59.25,73.05,9.78,23.25,27.96,82.8,63.44,54.84,10.75,8.6,0,0,0,0,7.53,2.15,13.98,8.6,1.08,18.28,9.68,3.23,6.45,1.08,10.75,7.53,1.08,4.3,0,0,4.3,7.53,0,7.53,2.15,0,0,1.08,0,4.3,0,3.23,1.08,2.15,2.15,0,2.15,0,1.08,0,0,9.68,0,0,0,0,0,0,8.6,0,0,0,0,7.53,3.23,4.3,0,1.08,0,0,1.08,0,0,4.3,1.08,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,7.53,13.98,0,0,10.75,0,0,1.08,4.3,3.23,6.45,0,0,0,0,0,0,13.98,4.3,7.53,0,0,0,2.15
A," think there are a lot of subjects related to Korean-Chinese crimes among Korean films. Crime city, youth police, etc... In fact, I think a lot of similar things happen. Kidnapping, drugs, organ trafficking, etc. I couldn't have imagined until I saw the movie. Otherwise, it doesn't seem like there's smoke coming out of the fire! I think there are a lot of crimes related to Korean-Chinese people. I'm anxious and scared~",1,71,73.06,1.61,99,2.07,8.88,16.9,83.1,64.79,50.7,9.86,7.04,7.04,0,0,0,0,2.82,11.27,7.04,0,15.49,9.86,4.23,4.23,2.82,21.13,2.82,12.68,1.41,0,0,1.41,14.08,0,14.08,9.86,0,1.41,1.41,0,2.82,0,2.82,0,2.82,2.82,0,2.82,2.82,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,4.23,0,4.23,0,2.82,2.82,0,0,0,0,1.41,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,12.68,0,1.41,11.27,1.41,0,0,2.82,2.82,7.04,0,0,0,0,0,0,32.39,11.27,9.86,0,1.41,5.63,4.23
A," Koreans are the main cause of violent crimes. As you know, how many crimes were committed by the Korean-Chinese? I also live in Daerim-dong, and every time I pass by the streets at night, I feel so numb that I am going to die. How common is human trafficking? It's cool every time the bongo is filled. It's all because of Moon Jae-in. The president is like this, so is the country.",1,72,41.36,40.06,59.49,7.66,10.29,13.89,88.89,75,58.33,12.5,6.94,5.56,0,1.39,0,0,5.56,16.67,8.33,0,12.5,12.5,6.94,8.33,0,22.22,9.72,5.56,2.78,0,1.39,1.39,12.5,4.17,8.33,5.56,5.56,0,0,0,0,0,4.17,1.39,2.78,2.78,0,2.78,0,1.39,0,0,5.56,0,0,0,0,0,0,4.17,0,0,0,0,4.17,1.39,2.78,0,0,0,0,0,0,0,4.17,1.39,0,0,0,0,0,0,1.39,0,0,0,0,1.39,0,0,0,0,12.5,11.11,0,1.39,5.56,0,0,4.17,1.39,1.39,12.5,2.78,0,0,0,0,0,22.22,6.94,5.56,2.78,0,2.78,4.17
A,"When I look at the recent crimes, I think that living in the world is very scary. It is a world where incidents, big and small, do not stop, but among them, the crime news of Korean-Chinese people is really creepy. When you see events that appear only in movies on the news, you may be confused about what is real and what is a movie. It's still rough, but it seems that the number of Koreans is increasing, making it a more difficult country to live in.",1,88,28.98,33.62,85.15,1,22,7.95,95.45,80.68,61.36,15.91,5.68,2.27,0,2.27,0,1.14,10.23,13.64,9.09,0,11.36,11.36,9.09,6.82,1.14,20.45,10.23,5.68,0,0,0,0,12.5,0,12.5,2.27,1.14,0,3.41,2.27,3.41,0,5.68,0,5.68,3.41,0,3.41,2.27,0,0,0,6.82,2.27,0,0,0,0,2.27,3.41,0,0,0,0,2.27,0,2.27,0,2.27,2.27,0,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.23,15.91,1.14,0,11.36,3.41,0,1.14,4.55,0,9.09,1.14,0,0,0,0,0,15.91,4.55,9.09,0,0,1.14,1.14
A," As you can see from the social news these days, if you look at articles about stabbing and killing people for insignificant reasons or hurting people by making a riot with a knife in broad daylight, 9 out of 10 cases are related to Korean-Chinese. There are, of course, normal Koreans, but most of them are violent and impatient. Let's be honest, let's admit this.",1,65,71.09,87.26,41.41,1,21.67,18.46,92.31,70.77,53.85,10.77,7.69,0,3.08,3.08,0,1.54,3.08,9.23,4.62,3.08,20,10.77,3.08,9.23,0,15.38,12.31,3.08,6.15,3.08,0,3.08,15.38,0,15.38,4.62,3.08,1.54,3.08,3.08,4.62,0,7.69,1.54,6.15,4.62,0,4.62,1.54,1.54,0,0,15.38,6.15,0,0,1.54,1.54,1.54,7.69,0,0,0,0,3.08,0,3.08,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,7.69,10.77,1.54,0,6.15,3.08,0,1.54,3.08,0,9.23,0,0,0,0,0,0,18.46,4.62,9.23,0,0,3.08,1.54
A,"There are many problems with Koreans. We are rather friendly, but we do not know what they are inside. Of course, not all of them are like that, but it seems that a significant number of Korean-Chinese are also involved in or take the lead in violent crimes. There are many unknown crimes. We need a warm gaze, but let's all be careful.",1,63,15.12,58.95,56.69,20.23,12.6,14.29,95.24,85.71,68.25,15.87,9.52,0,6.35,0,0,3.17,6.35,14.29,4.76,0,12.7,14.29,6.35,7.94,3.17,20.63,12.7,6.35,9.52,7.94,1.59,1.59,26.98,1.59,25.4,3.17,1.59,1.59,9.52,3.17,9.52,0,3.17,1.59,1.59,3.17,1.59,1.59,0,1.59,0,0,11.11,1.59,1.59,0,0,0,0,9.52,0,0,0,0,3.17,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,1.59,0,0,0,0,1.59,0,6.35,11.11,0,0,7.94,1.59,0,1.59,0,0,12.7,0,0,0,0,0,0,17.46,7.94,6.35,0,0,1.59,1.59
A," Chosun-jok are not allowed to commit such cruel crimes because they are afraid. I don't want to even go near the Korean-Chinese because I'm afraid. Special crackdown on the villages or neighborhoods where Korean-Chinese live together. How do you live together, cruel things...",1,43,19.49,27.38,82.44,1,10.75,27.91,93.02,76.74,53.49,11.63,9.3,4.65,0,2.33,0,2.33,2.33,6.98,4.65,0,9.3,11.63,6.98,6.98,4.65,23.26,13.95,0,9.3,6.98,0,2.33,16.28,0,16.28,2.33,9.3,2.33,2.33,0,4.65,0,9.3,0,9.3,9.3,0,9.3,4.65,4.65,0,0,16.28,6.98,0,0,4.65,4.65,0,9.3,0,0,0,0,4.65,0,4.65,0,2.33,0,2.33,0,0,0,4.65,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,9.3,11.63,0,2.33,11.63,0,0,0,0,0,9.3,0,0,0,0,0,0,27.91,13.95,2.33,0,0,4.65,6.98
A,"Anyway, it's not okay to let Korean-Chinese step on our land, so if you do anything, you'll have a murder case and take your money, phishing phishing, committing a crime, and living because you're afraid. really",1,36,1,99,22.12,1,18,16.67,86.11,72.22,58.33,19.44,13.89,0,2.78,11.11,0,0,5.56,11.11,5.56,0,5.56,13.89,8.33,13.89,2.78,22.22,5.56,0,2.78,2.78,0,0,13.89,0,13.89,0,2.78,0,5.56,2.78,5.56,0,5.56,0,5.56,2.78,0,2.78,2.78,0,0,0,16.67,2.78,0,0,2.78,0,0,13.89,0,0,0,0,2.78,0,2.78,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,2.78,0,0,2.78,0,0,0,0,0,0,11.11,8.33,0,2.78,5.56,0,0,0,0,0,5.56,2.78,2.78,0,2.78,0,0,30.56,2.78,16.67,0,0,8.33,2.78
A," It seems that there are many Korean-Chinese people coming in and violent crimes have occurred. It seems that the Korean people are said to be the best security in the world. If you commit a crime, you should not be regarded as a foreigner and should be severely punished.",1,49,32.77,64.19,37.24,1,16.33,16.33,93.88,75.51,59.18,12.24,4.08,0,0,4.08,0,0,8.16,16.33,10.2,0,8.16,16.33,2.04,8.16,2.04,28.57,6.12,2.04,4.08,0,2.04,2.04,12.24,0,12.24,4.08,0,4.08,6.12,0,4.08,0,6.12,0,6.12,2.04,0,2.04,0,2.04,0,0,12.24,6.12,0,2.04,0,0,2.04,6.12,0,0,0,0,6.12,0,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,8.16,10.2,0,2.04,10.2,0,0,0,0,4.08,8.16,0,0,0,0,0,0,10.2,6.12,2.04,0,0,0,2.04
A," also live in an area where there are a lot of Korean-Chinese (the location is not disclosed due to personal risk), but the Korean-Chinese are really scary people. Everyone must have seen the crime city movie. This is a film that shows just how ruthless and heartless the Korean-Chinese people in the 2000s are. There are no such makga-style Korean-Chinese in this era, but their atrocities are still ingrained deep inside. Then you get a rough idea of whether this person is normal or not. I'm not saying that all Korean-Chinese are killers, just as each person has their own personality. Humans can barely detect danger with their eyes. Anyway, people who live in an area where there are many Koreans like me, please take care of yourself. I can go to Hankyu for no reason..",1,136,27.96,31.82,83.69,1.85,15.11,13.97,94.85,70.59,61.03,11.03,6.62,2.21,0,1.47,0,2.21,4.41,18.38,7.35,0.74,10.29,11.76,9.56,5.88,3.68,17.65,4.41,3.68,2.21,0,0,2.21,15.44,2.94,12.5,2.94,1.47,2.94,1.47,2.21,5.15,0,4.41,0.74,3.68,0.74,0,0.74,0.74,0,0,0,13.24,4.41,1.47,0.74,0.74,0.74,1.47,8.09,0,0,0,0,4.41,0,4.41,0,1.47,1.47,0,0,0,0,2.94,0,0,0,0,0,0,0,0.74,0,0,1.47,0.74,0,0,0,1.47,0,8.82,16.18,0.74,0.74,13.24,1.47,0,0.74,2.21,2.21,10.29,0,0,0,0,0,0,17.65,7.35,3.68,0,0,0.74,5.88
A,"If you talk to them for a long time, they are Chinese people who take the Chinese side. Each country has a universal level of education and a sense of order... It seems that they are also Chinese, so they do not have a good sense of citizenship and use a lot of violence ignorantly. In the past, Koreans went to China and did a lot of bad things to Korean-Chinese people.",1,72,73.36,72.07,39.59,2.17,18,15.28,98.61,76.39,59.72,12.5,8.33,0,0,1.39,0,5.56,4.17,16.67,11.11,0,13.89,8.33,2.78,8.33,1.39,16.67,9.72,9.72,1.39,0,0,1.39,8.33,0,8.33,4.17,1.39,0,2.78,0,2.78,0,5.56,1.39,4.17,2.78,1.39,1.39,0,0,0,0,11.11,1.39,0,0,0,0,1.39,8.33,0,0,0,0,8.33,1.39,6.94,0,1.39,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,4.17,0,0,0,0,0,11.11,11.11,0,1.39,6.94,0,0,2.78,1.39,4.17,5.56,0,0,0,0,0,0,13.89,8.33,4.17,0,0,0,1.39
